Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,36.000000,36.099998,35.400002,35.580002,33.721626,4503700
2019-10-25,35.419998,36.070000,35.419998,35.849998,33.977520,3011400
2019-10-28,36.070000,36.549999,36.009998,36.169998,34.280807,4089100
2019-10-29,35.500000,36.070000,35.500000,35.730000,34.204227,3173200
2019-10-30,35.650002,35.709999,35.090000,35.500000,33.984047,3665100
2019-10-31,35.220001,35.500000,34.555000,35.160000,33.658566,4221200
2019-11-01,35.599998,36.049999,35.450001,36.049999,34.510559,4214300
2019-11-04,36.500000,37.160000,36.360001,37.150002,35.563587,4688200
2019-11-05,37.340000,37.990002,37.290001,37.900002,36.281563,5502400
2019-11-06,37.750000,37.845001,37.380001,37.680000,36.070953,4004600
2019-11-07,38.150002,38.540001,38.070000,38.189999,36.559174,5517500
2019-11-08,38.160000,38.619999,37.869999,38.520000,36.875084,4518000
2019-11-11,38.070000,38.610001,38.064999,38.380001,36.741062,2493800
2019-11-12,38.310001,38.630001,38.090000,38.389999,36.750633,3244500
2019-11-13,37.880001,38.120998,37.639999,37.900002,36.281563,2663200
2019-11-14,37.680000,37.770000,37.380001,37.570000,35.965649,3335400
2019-11-15,37.820000,38.025002,37.654999,38.000000,36.377289,2607800
2019-11-18,37.910000,38.110001,37.744999,38.000000,36.377289,2613900
2019-11-19,38.130001,38.250000,37.869999,38.029999,36.406010,2165100
2019-11-20,37.750000,38.154999,37.439999,38.000000,36.377289,4196900
2019-11-21,38.310001,38.360001,37.744999,38.110001,36.482590,2528300
2019-11-22,38.209999,38.660000,38.110001,38.590000,36.942093,2435900
2019-11-25,38.599998,38.889999,38.430000,38.740002,37.085693,3652100
2019-11-26,38.560001,38.700001,38.349998,38.490002,36.846363,3028000
2019-11-27,38.700001,38.840000,38.445000,38.650002,36.999531,2646000
2019-11-29,38.500000,38.650002,38.389999,38.459999,36.817642,1550500
2019-12-02,38.650002,38.919998,38.250000,38.310001,36.674049,3575300
2019-12-03,37.689999,37.865002,37.240002,37.759998,36.147537,3644600
2019-12-04,37.939999,38.544998,37.849998,38.360001,36.721916,3211400
2019-12-05,38.599998,38.700001,38.389999,38.560001,36.913376,3348300
2019-12-06,39.270000,39.529999,39.009998,39.029999,37.363300,2992400
2019-12-09,38.860001,39.160000,38.860001,38.950001,37.286720,2226200
2019-12-10,38.930000,39.474998,38.810001,39.330002,37.650494,3643700
2019-12-11,39.369999,39.439999,39.029999,39.139999,37.468605,2750800
2019-12-12,39.299999,40.650002,39.230000,40.560001,38.827972,3769000
2019-12-13,40.459999,40.919998,39.910000,40.119999,38.406761,3424700
2019-12-16,40.750000,40.869999,40.290001,40.290001,38.569500,3793500
2019-12-17,40.360001,40.790001,40.180000,40.529999,38.799248,4545000
2019-12-18,40.639999,40.869999,40.400002,40.400002,38.674801,3257100
2019-12-19,40.439999,40.619999,40.279999,40.310001,38.588646,4159200
2019-12-20,40.570000,40.880001,40.310001,40.540001,38.808826,6282700
2019-12-23,40.619999,40.689999,40.259998,40.439999,38.713093,1815100
2019-12-24,40.540001,40.560001,40.299999,40.509998,38.780102,1177800
2019-12-26,40.599998,40.820000,40.459999,40.750000,39.009853,1674800
2019-12-27,40.790001,40.790001,40.404999,40.480000,38.751385,1400700
2019-12-30,40.790001,40.790001,40.349998,40.430000,38.703522,1674400
2019-12-31,40.439999,40.716000,40.360001,40.610001,38.875835,1924500
2020-01-02,40.720001,40.779999,40.189999,40.750000,39.009853,2903800
2020-01-03,40.000000,40.160000,39.540001,39.910000,38.205723,2768100
2020-01-06,39.799999,39.799999,39.220001,39.700001,38.004696,2743500
2020-01-07,39.529999,39.799999,39.285000,39.450001,37.765369,3266700
2020-01-08,39.490002,40.014999,39.459999,39.759998,38.062130,5653800
2020-01-09,40.060001,40.165001,39.799999,40.020000,38.311031,2667400
2020-01-10,40.049999,40.080002,39.455002,39.520000,37.832382,2004000
2020-01-13,39.580002,39.970001,39.349998,39.860001,38.157860,3404300
2020-01-14,39.849998,40.150002,39.630001,40.009998,38.301453,2887400
2020-01-15,39.529999,39.549999,38.790001,38.980000,37.315441,4466200
